name,url,level,rating,price
HelloExperts,https://accountsplace.co.ke/ads/helloexperts1685542487,Expert,45/100,"KES 10,000"
ESSAYPRO 1500 ORDERS 90% 4.9 TESS 15/8HRS @130K ONLY,https://accountsplace.co.ke/ads/essaypro_1500_orders_90_49_tess_158hrs_at_130k_only1684314539,Used,Used,"KES 130,000"
"Writershub Senior 10 takes, done 100 orders, KPI 42",https://accountsplace.co.ke/ads/writershub_senior_10_takes_done_100_orders_kpi_421685531884,senior level,98,"KES 55,000"
Writershub junior KPI 42 done 48 orders,https://accountsplace.co.ke/ads/writershub_junior_kpi_42_done_48_orders1685529098,Junior,100/100,"KES 26,000"
WRITERSHUB JUNIOR KPI39 AFTER 30 ORDERS AVAILABLE.,https://accountsplace.co.ke/ads/writershub_junior_kpi39_after_30_orders_available1684743807,JUNIOR,,"KES 25,000"
"Studypool rising star, rated 100% after 6 orders, 2 badges (Humanities and Law)",https://accountsplace.co.ke/ads/studypool_rising_star_rated_100_after_6_orders_2_badges_humanities_and_law1684314253,Rising star,100%,"KES 25,000"
WRITERSHUB JUNIOR KPI 20 AVAILABLE,https://accountsplace.co.ke/ads/writershub_junior_kpi_20_available1684313221,Jnr,Jnr,"KES 21,000"
EDDUSON INTERMEDIATE DONE 30+ ORDERS RATED 4.9 ACTIVE FEMALE PROFILE WITH ALL CREDENTIALS,https://accountsplace.co.ke/ads/edduson_intermediate_done_30_orders_rated_49_active_female_profile_with_all_credentials1684312665,intermediate,4.9,"KES 125,000"
WRITERBAY KENYAN PROFILE BRAND NEW AVAILABLE,https://accountsplace.co.ke/ads/writerbay_kenyan_profile_brand_new_available1684312645,NEW,,"KES 100,000"
Academia Research Premium,https://accountsplace.co.ke/ads/academia_research_premium1685528143,Premium,9,"KES 170,000"
WRITING CREEK  PAKISTAN PROFILE DONE 75 ORDERS INTERMEDIATE LEVEL,https://accountsplace.co.ke/ads/writing_creek_pakistan_profile_done_75_orders_intermediate_level1685526203,Intermediate,4.7,"KES 60,000"
Several go transcript available,https://accountsplace.co.ke/ads/several_go_transcript_available1685526054,New,New,"KES 16,000"
EDUSSON BRAND NEW WITH SIM PLUS DOCS AVAILABLE (GMAIL).,https://accountsplace.co.ke/ads/edusson_brand_new_with_sim_plus_docs_available_gmail1684312554,NEW,,"KES 122,000"
Studypool Top tutor 1000 ORDERS available 8 badges including writing badge 97%,https://accountsplace.co.ke/ads/studypool_top_tutor_1000_orders_available_8_badges_including_writing_badge_971685429203,Used,Used,"KES 120,000"
"QUALITIY WRITERS NOVICE LEVEL, 70+ ORDER 2 TAKES AVAILABLE.",https://accountsplace.co.ke/ads/qualitiy_writers_novice_level_70_order_2_takes_available1684743590,NOVICE,,"KES 35,000"
Scribie proof reader,https://accountsplace.co.ke/ads/scribie_proof_reader1684742469,New,New,"KES 10,000"
ESSAYSHARK PHILIPINES PROFILE,https://accountsplace.co.ke/ads/essayshark_philipines_profile1685525986,New,New,"KES 40,000"
Writers Hub Senior completed 660+ orders rated 42 with 100% customer satisfaction,https://accountsplace.co.ke/ads/writers_hub_senior_completed_660_orders_rated_42_with_100_customer_satisfaction1685525828,Senior,42,"KES 58,000"
Demoted trax and werkit,https://accountsplace.co.ke/ads/demoted_trax_and_werkit1685522025,3.92,3.92,"KES 19,000"
Hawkresearch,https://accountsplace.co.ke/ads/hawkresearch1685520726,Used,100,"KES 33,000"
BEAST!!// ACADEMIA RESEARCH PREMIUM 7 TAKES RATED 9.3 400+ ORDERS WITH 14 ACTIVE SUBJECTS NON TECH. AVAILABLE.,https://accountsplace.co.ke/ads/beast_academia_research_premium_7_takes_rated_93_with_14_active_subjects_non_tech_available1684312410,PREMIUM,,"KES 165,000"
LIVINGSTON RESEARCH FOREIGN BRAND PROFILE AVAILABLE,https://accountsplace.co.ke/ads/livingston_research_foreign_brand_profile_available1684312221,NEW,,"KES 22,000"
Transcribe me,https://accountsplace.co.ke/ads/transcribe_me1684742431,4.8,4.8,"KES 8,000"
Studypool rising star 💯 done 3 orders,https://accountsplace.co.ke/ads/studypool_rising_star_done_3_orders1685428962,Rising star,💯,"KES 19,000"
"Cheaply on sale!  Studybay Savant level completed 120 orders rated 4.8, all credentials and profile owner available  Inbox/call",https://accountsplace.co.ke/ads/cheaply_on_sale_studybay_savant_level_completed_120_orders_rated_48_all_credentials_and_profile_owner_available_inboxcall1684312148,Used,Used,"KES 120,000"
"ESSAYSHARK KENYAN PROFILE RATED 9.75, 2000+ ORDERS AVAILABLE.",https://accountsplace.co.ke/ads/essayshark_kenyan_profile_rated_975_2000_orders_available1684312128,ASSOCIATES,,"KES 150,000"
Active studybay expert profile owner available leteni pesa🔥🔥🔥🔥,https://accountsplace.co.ke/ads/active_studybay_expert_profile_owner_available_leteni_pesa1684742224,Used,Used,"KES 75,000"
Brandnew Writedom Regular level,https://accountsplace.co.ke/ads/brandnew_writedom_regular_level1685428881,Regular,New,"KES 60,000"
Brandnew Writedom Probation,https://accountsplace.co.ke/ads/brandnew_writedom_probation1685428821,Probation,New,"KES 45,000"
Essayshark 4.6 done 45 orders,https://accountsplace.co.ke/ads/essayshark_46_done_45_orders1685428712,Bachelor,4.6,"KES 70,000"
Brandnew writerslabs non-technical subjects,https://accountsplace.co.ke/ads/brandnew_writerslabs_non_technical_subjects1685428611,Freshman,New,"KES 75,000"
Old verbit available,https://accountsplace.co.ke/ads/old_verbit_available1684741800,3.8,3.8,"KES 35,000"
Selling scribie account,https://accountsplace.co.ke/ads/selling_scribie_account1684741766,5,5,"KES 1,500"
Brandnew Writershub Probation level,https://accountsplace.co.ke/ads/brandnew_writershub_probation_level1685428474,Probation,New,"KES 12,000"
Go transcript account,https://accountsplace.co.ke/ads/go_transcript_account1684741719,New,New,"KES 15,000"
ESSAYSHARK 10/10 KENYAN . COMPLETED 8 ORDERS @55k,https://accountsplace.co.ke/ads/essayshark_1010_kenyan_completed_8_orders_at_55k1684741364,USED,Used,"KES 55,000"
urgently selling old verbit 2018 and british editor,https://accountsplace.co.ke/ads/urgently_selling_old_verbit_2018_and_british_editor1685426654,3.9,3.9,"KES 35,000"
scribie accounts available very cheap,https://accountsplace.co.ke/ads/scribie_accounts_available_very_cheap1685426523,new,new,"KES 1,000"
Hire writers expert level used earned $20000 usd lots of orders available,https://accountsplace.co.ke/ads/hire_writers_expert_level_used_earned_20000_usd_lots_of_orders_available1685426503,Expert,Expert,"KES 150,000"
ESSAYPRO RATED 4.8 94% DONE 1670+ ORDERS MANAGER--TESS BIDS LIMIT 15 IN 8 HOURS,https://accountsplace.co.ke/ads/essaypro_rated_48_94_done_1670_orders_manager_tess_bids_limit_15_in_8_hours1685631216,ACTIVE STATUS,4.8 & 94%,"KES 285,000"
Discord Account,https://accountsplace.co.ke/ads/discord_account1684741165,Top Notch beast,150/100,"KES 150,000"
werkit editor,https://accountsplace.co.ke/ads/werkit_editor1685619243,3.83,3.83,"KES 17,000"
writersdomain and writers access available,https://accountsplace.co.ke/ads/writersdomain_and_writers_access_available1685619190,new,new,"KES 35,000"
Edusson advanced,https://accountsplace.co.ke/ads/edusson_advanced1685618874,advanced,4.9,"KES 165,000"
Studypool partner rising star US profile,https://accountsplace.co.ke/ads/studypool_partner_rising_star_us_profile1685614658,Rising star,💯,"KES 75,000"
Writerbay Kenyan.  Rating: 4.77 Orders Completed 16. Running Orders 5. Last order received in less than 12 hrs 263 dollars earned in 2 weeks. Zero Warning. Zero Demotion. Zero Quality Issues.,https://accountsplace.co.ke/ads/writerbay_kenyan_rating_477_orders_completed_16_running_orders_5_last_order_received_in_less_than_12_hrs_263_dollars_earned_in_2_weeks_zero_warning_zero_demotion_zero_quality_issues1685614229,beginner,4.77,"KES 112,000"
"Us, Australia and uk Focus forward on quick sale",https://accountsplace.co.ke/ads/us_australia_and_uk_focus_forward_on_quick_sale1685613580,New,New,"KES 13,000"
Old verbit with jobs on quick sale,https://accountsplace.co.ke/ads/old_verbit_with_jobs_on_quick_sale1685613464,3.95,3.95,"KES 30,000"
Used go transcript rated 5/5 with 8 unlocks,https://accountsplace.co.ke/ads/used_go_transcript_rated_55_with_8_unlocks1685613413,5,5,"KES 28,000"
WRITERSHUB SENIOR ACCOUNT ON QUICK SALE,https://accountsplace.co.ke/ads/writershub_senior_account_on_quick_sale1685613218,SENIOR,100,"KES 60,000"
WRITERBAY ESL FOREIGN PROFILE REGULAR PLUS LEVEL DONE 18 ORDERS RATED 4.4 VERY CLEAN WITH INTACT CREDENTIALS,https://accountsplace.co.ke/ads/writerbay_esl_foreign_profile_regular_plus_level_done_18_orders_rated_44_very_clean_with_intact_credentials1683524671,REGULAR PLUS,4.4,"KES 250,000"
TSM-GROUP RATED 346/500 WITH 47 SLOTS & 2 ORDERS IN PROGRESS WITH INTACT CREDENTIALS,https://accountsplace.co.ke/ads/tsm_group_rated_346500_with_47_slots_2_orders_in_progress_with_intact_credentials1683524594,USED,346/500,"KES 280,000"
WRITEDOM PROBATION DONE 2 ORDERS NOT YET RATED,https://accountsplace.co.ke/ads/writedom_probation_done_2_orders_not_yet_rated1683524222,USED,N/A,"KES 50,000"
WRITEDOM PROBATION NEW,https://accountsplace.co.ke/ads/writedom_probation_new1683523967,NEW,N/A,"KES 50,000"
WRITEDOM REGULAR NEW,https://accountsplace.co.ke/ads/writedom_regular_new1683523923,NEW,N/A,"KES 63,000"
"ESSAYPRO DONE 400 ORDERS RATED 88%,4.8 WITH 9 ORDERS IN PROGRESS & 450 DOLLARS INSIDE,30/8 HOURS PER BID LIMIT",https://accountsplace.co.ke/ads/essaypro_done_400_orders_rated_8848_with_9_orders_in_progress_450_dollars_inside308_hours_per_bid_limit1683523877,ACTIVE,4.8,"KES 100,000"
Essaypro done 400+ orders  88% 4.8.  9 orders in progress with $450 ndani. Nauza 100k only. 30/8hrs bid limit,https://accountsplace.co.ke/ads/essaypro_done_400_orders_88_48_9_orders_in_progress_with_450_ndani_nauza_100k_only_308hrs_bid_limit1683522718,Used,Used,"KES 100,000"
Writershub Probation (1 order),https://accountsplace.co.ke/ads/writershub_probation_1_order1683506203,Probation,100%,"KES 13,500"
"TOP TUTOR LOCAL DONE 1900 ORDERS RATED 99% WITH 5 PRIME BADGES AVAILABLE , SLIGHTLY NEGOTIABLE",https://accountsplace.co.ke/ads/top_tutor_local_done_1900_orders_rated_99_with_5_prime_badges_available_slightly_negotiable1683493339,TOP TUTOR,99%,"KES 199,000"
